출장,부서,전공,참여프로젝트,근속연차,이직회수,업무평가,주변평가,경력,전년도교육출장횟수,현회사근속년수,월급_KRW,직급관리자여부,월급_경력비,월급_프로젝트비,현근속_총경력비,총근속,경력성장률,이직빈도,학습몰입도,월급_근속연차비,월급_출장비,근속_경력비,평균근속기간,프로젝트_경력비,프로젝트_근속연차비,출장_경력비,출장_근속연차비,교육출장_경력비,주변평가_근속연차,학습몰입도_교육출장
1,0,자연과학계열,3,1,3,0,3,4,3,2,5539320.0,0,1107864.0,1384830.0,0.4,1,1.0,0.6,9,2769660.0,2769660.0,0.4,0.25,0.6,1.5,0.2,0.5,0.6,3,27
1,0,사회과학계열,3,2,3,1,4,10,3,7,8162700.0,0,742063.6363636364,2040675.0,0.6363636363636364,2,2.333333333333333,0.2727272727272727,9,2720900.0,4081350.0,0.6363636363636364,0.5,0.2727272727272727,1.0,0.09090909090909091,0.3333333333333333,0.2727272727272727,8,27
1,0,사회과학계열,2,2,1,0,3,7,2,7,8270340.0,1,1033792.5,2756780.0,0.875,2,2.333333333333333,0.125,4,2756780.0,4135170.0,0.875,1.0,0.25,0.6666666666666666,0.125,0.3333333333333333,0.25,6,8
1,0,자연과학계열,3,2,1,1,2,9,3,9,8503560.0,1,850356.0,2125890.0,0.9,2,3.0,0.1,9,2834520.0,4251780.0,0.9,1.0,0.3,1.0,0.1,0.3333333333333333,0.3,4,27
2,0,사회과학계열,3,2,1,0,4,10,2,10,3320280.0,0,301843.63636363635,830070.0,0.9090909090909092,2,3.333333333333333,0.0909090909090909,6,1106760.0,1106760.0,0.9090909090909091,1.0,0.2727272727272727,1.0,0.18181818181818182,0.6666666666666666,0.18181818181818182,8,12
1,0,자연과학계열,2,5,5,0,4,29,2,27,25861200.0,1,862040.0,8620400.0,0.9,5,4.5,0.1666666666666666,4,4310200.0,12930600.0,0.9,0.8333333333333334,0.06666666666666667,0.3333333333333333,0.03333333333333333,0.16666666666666666,0.06666666666666667,20,8
1,1,사회과학계열,3,3,7,0,4,28,3,21,10539060.0,0,363415.8620689655,2634765.0,0.7241379310344828,3,5.25,0.2413793103448276,9,2634765.0,5269530.0,0.7241379310344828,0.375,0.10344827586206896,0.75,0.034482758620689655,0.25,0.10344827586206896,12,27
1,0,공학계열,3,3,1,0,2,17,2,17,13932480.0,1,774026.6666666666,3483120.0,0.9444444444444444,3,4.25,0.0555555555555555,6,3483120.0,6966240.0,0.9444444444444444,1.5,0.16666666666666666,0.75,0.05555555555555555,0.25,0.1111111111111111,6,12
1,0,자연과학계열,3,4,2,0,3,21,2,5,20363280.0,1,925603.6363636364,5090820.0,0.2272727272727272,4,1.0,0.0909090909090909,6,4072656.0,10181640.0,0.22727272727272727,1.3333333333333333,0.13636363636363635,0.6,0.045454545454545456,0.2,0.09090909090909091,12,12
2,0,사회과학계열,2,2,1,0,3,6,3,6,8968620.0,1,1281231.4285714286,2989540.0,0.8571428571428571,2,2.0,0.1428571428571428,6,2989540.0,2989540.0,0.8571428571428571,1.0,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.6666666666666666,0.42857142857142855,6,18
1,0,사회과학계열,3,3,2,0,3,25,2,1,13419120.0,0,516120.0,3354780.0,0.0384615384615384,3,0.25,0.0769230769230769,6,3354780.0,6709560.0,0.038461538461538464,1.0,0.11538461538461539,0.75,0.038461538461538464,0.25,0.07692307692307693,9,12
2,0,자연과학계열,3,1,4,0,4,5,2,3,3027720.0,0,504620.0,756930.0,0.5,1,1.5,0.6666666666666666,6,1513860.0,1009240.0,0.5,0.2,0.5,1.5,0.3333333333333333,1.0,0.3333333333333333,4,12
1,0,자연과학계열,2,1,0,0,1,2,0,1,4675440.0,0,1558480.0,1558480.0,0.3333333333333333,1,0.5,0.0,0,2337720.0,2337720.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,0.5,0.0,1,0
2,1,사회과학계열,2,2,7,0,4,20,2,4,7552740.0,0,359654.28571428574,2517580.0,0.1904761904761904,2,1.3333333333333333,0.3333333333333333,4,2517580.0,2517580.0,0.19047619047619047,0.25,0.09523809523809523,0.6666666666666666,0.09523809523809523,0.6666666666666666,0.09523809523809523,8,8
1,0,사회과학계열,3,1,0,1,4,6,3,5,3730140.0,0,532877.1428571428,932535.0,0.7142857142857143,1,2.5,0.0,9,1865070.0,1865070.0,0.7142857142857143,1.0,0.42857142857142855,1.5,0.14285714285714285,0.5,0.42857142857142855,4,27
1,0,자연과학계열,3,1,1,0,2,1,4,1,3451380.0,0,1725690.0,862845.0,0.5,1,0.5,0.5,12,1725690.0,1725690.0,0.5,0.5,1.5,1.5,0.5,0.5,2.0,2,48
1,0,사회과학계열,3,2,1,0,2,10,3,10,8583600.0,0,780327.2727272727,2145900.0,0.9090909090909092,2,3.333333333333333,0.0909090909090909,9,2861200.0,4291800.0,0.9090909090909091,1.0,0.2727272727272727,1.0,0.09090909090909091,0.3333333333333333,0.2727272727272727,4,27
1,0,사회과학계열,4,1,3,0,2,5,3,1,4192440.0,0,698740.0,838488.0,0.1666666666666666,1,0.5,0.5,12,2096220.0,2096220.0,0.16666666666666666,0.25,0.6666666666666666,2.0,0.16666666666666666,0.5,0.5,2,36
1,0,사회과학계열,3,2,1,1,4,11,2,11,6105120.0,1,508760.0,1526280.0,0.9166666666666666,2,3.6666666666666665,0.0833333333333333,6,2035040.0,3052560.0,0.9166666666666666,1.0,0.25,1.0,0.08333333333333333,0.3333333333333333,0.16666666666666666,8,12
1,1,상경계열,2,2,0,0,2,16,2,15,5950560.0,0,350032.9411764706,1983520.0,0.8823529411764706,2,5.0,0.0,4,1983520.0,2975280.0,0.8823529411764706,2.0,0.11764705882352941,0.6666666666666666,0.058823529411764705,0.3333333333333333,0.11764705882352941,4,8
1,0,기타,3,3,4,0,2,17,3,0,18278100.0,1,1015450.0,4569525.0,0.0,3,0.0,0.2222222222222222,9,4569525.0,9139050.0,0.0,0.6,0.16666666666666666,0.75,0.05555555555555555,0.25,0.16666666666666666,6,27
1,0,자연과학계열,3,3,4,0,1,16,3,5,18856320.0,1,1109195.294117647,4714080.0,0.2941176470588235,3,1.25,0.2352941176470588,9,4714080.0,9428160.0,0.29411764705882354,0.6,0.17647058823529413,0.75,0.058823529411764705,0.25,0.17647058823529413,3,27
1,2,자연과학계열,3,2,8,1,4,16,2,4,6928980.0,0,407587.0588235294,1732245.0,0.2352941176470588,2,1.3333333333333333,0.4705882352941176,6,2309660.0,3464490.0,0.23529411764705882,0.2222222222222222,0.17647058823529413,1.0,0.058823529411764705,0.3333333333333333,0.11764705882352941,8,12
1,0,사회과학계열,2,2,1,0,3,10,1,10,7073880.0,0,643080.0,2357960.0,0.9090909090909092,2,3.333333333333333,0.0909090909090909,2,2357960.0,3536940.0,0.9090909090909091,1.0,0.18181818181818182,0.6666666666666666,0.09090909090909091,0.3333333333333333,0.09090909090909091,6,2
1,0,자연과학계열,2,1,1,0,1,6,3,6,3945420.0,0,563631.4285714285,1315140.0,0.8571428571428571,1,3.0,0.1428571428571428,6,1972710.0,1972710.0,0.8571428571428571,0.5,0.2857142857142857,1.0,0.14285714285714285,0.5,0.42857142857142855,1,18
1,1,사회과학계열,3,3,3,0,4,24,4,1,14129820.0,0,565192.8,3532455.0,0.04,3,0.25,0.12,12,3532455.0,7064910.0,0.04,0.75,0.12,0.75,0.04,0.25,0.16,12,48
0,0,자연과학계열,1,2,7,0,4,17,3,13,7354020.0,0,408556.6666666667,3677010.0,0.7222222222222222,2,4.333333333333333,0.3888888888888889,3,2451340.0,7354020.0,0.7222222222222222,0.25,0.05555555555555555,0.3333333333333333,0.0,0.0,0.16666666666666666,8,9
1,0,자연과학계열,3,2,1,0,3,5,2,5,5968500.0,1,994750.0,1492125.0,0.8333333333333334,2,1.6666666666666667,0.1666666666666666,6,1989500.0,2984250.0,0.8333333333333334,1.0,0.5,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,6,12
1,0,사회과학계열,1,3,4,0,1,37,3,6,10018800.0,1,263652.63157894736,5009400.0,0.1578947368421052,3,1.5,0.1052631578947368,3,2504700.0,5009400.0,0.15789473684210525,0.6,0.02631578947368421,0.25,0.02631578947368421,0.25,0.07894736842105263,3,9
1,1,공학계열,3,1,3,0,3,3,3,0,3204360.0,0,801090.0,801090.0,0.0,1,0.0,0.75,9,1602180.0,1602180.0,0.0,0.25,0.75,1.5,0.25,0.5,0.75,3,27
1,0,사회과학계열,3,1,3,1,2,10,4,4,2863500.0,0,260318.18181818185,715875.0,0.3636363636363636,1,2.0,0.2727272727272727,12,1431750.0,1431750.0,0.36363636363636365,0.25,0.2727272727272727,1.5,0.09090909090909091,0.5,0.36363636363636365,2,48
1,0,사회과학계열,2,2,1,0,1,11,3,11,5729760.0,1,477480.0,1909920.0,0.9166666666666666,2,3.6666666666666665,0.0833333333333333,6,1909920.0,2864880.0,0.9166666666666666,1.0,0.16666666666666666,0.6666666666666666,0.08333333333333333,0.3333333333333333,0.25,2,18
1,1,자연과학계열,2,3,1,0,4,9,3,9,13274220.0,0,1327422.0,4424740.0,0.9,3,2.25,0.1,6,3318555.0,6637110.0,0.9,1.5,0.2,0.5,0.1,0.25,0.3,12,18
2,0,사회과학계열,2,4,1,1,4,22,3,22,18634140.0,1,810180.0,6211380.0,0.9565217391304348,4,4.4,0.0434782608695652,6,3726828.0,6211380.0,0.9565217391304348,2.0,0.08695652173913043,0.4,0.08695652173913043,0.4,0.13043478260869565,16,18
1,1,상경계열,3,2,0,1,4,11,2,10,7508580.0,0,625715.0,1877145.0,0.8333333333333334,2,3.333333333333333,0.0,6,2502860.0,3754290.0,0.8333333333333334,2.0,0.25,1.0,0.08333333333333333,0.3333333333333333,0.16666666666666666,8,12
1,1,자연과학계열,2,2,1,0,2,11,4,11,7188420.0,0,599035.0,2396140.0,0.9166666666666666,2,3.6666666666666665,0.0833333333333333,8,2396140.0,3594210.0,0.9166666666666666,1.0,0.16666666666666666,0.6666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,4,32
2,0,자연과학계열,2,3,2,0,3,21,5,10,14728740.0,1,669488.1818181818,4909580.0,0.4545454545454545,3,2.5,0.0909090909090909,10,3682185.0,4909580.0,0.45454545454545453,1.0,0.09090909090909091,0.5,0.09090909090909091,0.5,0.22727272727272727,9,50
1,1,자연과학계열,3,2,1,0,1,12,0,11,6913800.0,0,531830.7692307692,1728450.0,0.8461538461538461,2,3.6666666666666665,0.0769230769230769,0,2304600.0,3456900.0,0.8461538461538461,1.0,0.23076923076923078,1.0,0.07692307692307693,0.3333333333333333,0.0,2,0
1,0,공학계열,3,3,9,0,1,16,5,4,18697620.0,1,1099860.0,4674405.0,0.2352941176470588,3,1.0,0.5294117647058824,15,4674405.0,9348810.0,0.23529411764705882,0.3,0.17647058823529413,0.75,0.058823529411764705,0.25,0.29411764705882354,3,75
1,1,기타,3,2,0,1,1,4,2,3,6898620.0,0,1379724.0,1724655.0,0.6,2,1.0,0.0,6,2299540.0,3449310.0,0.6,2.0,0.6,1.0,0.2,0.3333333333333333,0.4,2,12
0,1,자연과학계열,3,2,1,0,2,5,3,5,5824980.0,0,970830.0,1456245.0,0.8333333333333334,2,1.6666666666666667,0.1666666666666666,9,1941660.0,5824980.0,0.8333333333333334,1.0,0.5,1.0,0.0,0.0,0.5,4,27
1,1,자연과학계열,3,4,0,0,3,38,1,37,19143360.0,0,490855.3846153846,4785840.0,0.9487179487179488,4,7.4,0.0,3,3828672.0,9571680.0,0.9487179487179487,4.0,0.07692307692307693,0.6,0.02564102564102564,0.2,0.02564102564102564,12,3
0,0,자연과학계열,3,2,4,0,3,17,3,3,2817960.0,0,156553.33333333334,704490.0,0.1666666666666666,2,1.0,0.2222222222222222,9,939320.0,2817960.0,0.16666666666666666,0.4,0.16666666666666666,1.0,0.0,0.0,0.16666666666666666,6,27
1,2,인문학,3,1,4,1,4,7,3,3,2860740.0,0,357592.5,715185.0,0.375,1,1.5,0.5,9,1430370.0,1430370.0,0.375,0.2,0.375,1.5,0.125,0.5,0.375,4,27
1,0,사회과학계열,3,1,1,0,4,1,2,1,4079280.0,0,2039640.0,1019820.0,0.5,1,0.5,0.5,6,2039640.0,2039640.0,0.5,0.5,1.5,1.5,0.5,0.5,1.0,4,12
2,0,사회과학계열,2,1,1,0,2,1,5,1,4037880.0,0,2018940.0,1345960.0,0.5,1,0.5,0.5,10,2018940.0,1345960.0,0.5,0.5,1.0,1.0,1.0,1.0,2.5,2,50
1,0,기타,3,2,1,0,3,16,3,16,6636420.0,0,390377.6470588236,1659105.0,0.9411764705882352,2,5.333333333333333,0.0588235294117647,9,2212140.0,3318210.0,0.9411764705882353,1.0,0.17647058823529413,1.0,0.058823529411764705,0.3333333333333333,0.17647058823529413,6,27
